Subject,Band,SkillArea,ComponentText,Keywords
English,Foundation D,Reading and Viewing,"When listening to and/or viewing a range of print and digital text types, students recognise, comment on and share feelings about settings, characters and events.","listen,recognise,view"
English,Foundation D,Reading and Viewing,"They replicate rhythms and sounds patterns, blend and segment one-syllable words, read some consonant-vowel-consonant (CVC) words and decode a small number of familiar words. They demonstrate knowledge of some phoneme–grapheme correspondences.","blend,demonstrate,knowledge,read,respond,segment,sounds,words"
English,Foundation D,Reading and Viewing,"When demonstrating understanding of texts, students use comprehension strategies, such as connecting, predicting and questioning. They identify that images, letters, sounds and words contribute to meaning.","identify,images,letters,meaning,sounds,texts,understand,use,words"
English,Foundation D,Reading and Viewing,"Students identify how types of text, in print, digital and multimodal format, are organised for purpose and navigation. They demonstrate knowledge of key elements of the sequence and structure of a text.","demonstrate,identify,knowledge,purpose"
English,Foundation D,Writing,"When creating and sharing short texts, students retell stories and report information using familiar symbols, letters and words.","information,letters,texts,words"
English,Foundation D,Writing,"They participate in shared editing processes, applying knowledge of capital letters and spacing between words.","apply,edit,knowledge,letters,participate,words"
English,Foundation D,Writing,"They identify and select symbols, signs and letters to create a text. They independently form some letters, and group clusters of marks or letters that are separated by spaces to make words that convey meaning.","create,identify,letters,meaning,select,words"
English,Foundation D,Writing,They use some phoneme–grapheme correspondences and form some familiar words.,"respond,use,words"
English,Foundation D,Writing,They create images that represent ideas and show features that are understood by others.,"create,ideas,images,present"
English,Foundation,Speaking and Listening,"When interacting with others, students explore vocabulary used in familiar contexts and how language changes in different contexts.","explore,interact,language,texts,use,vocabulary"
English,Foundation,Speaking and Listening,They share thoughts and preferences.,preferences
English,Foundation,Speaking and Listening,"When speaking to an audience, students deliver short spoken texts, including retelling stories and reporting events, using features of voice.","audience,deliver,speak,texts,voice"
English,Foundation,Reading and Viewing,"When listening, reading and viewing, students engage with a range of different types of texts, including decodable and authentic texts, using developing phonic knowledge.","develop,engage,knowledge,listen,read,texts,view"
English,Foundation,Reading and Viewing,"They blend, segment and manipulate phonemes in one-syllable words, and use knowledge of letters and sounds to read consonant-vowel-consonant (CVC) words. They read some high-frequency words and identify boundary punctuation.","blend,identify,knowledge,letters,manipulate,punctuation,read,segment,sounds,use,words"
English,Foundation,Reading and Viewing,"When demonstrating understanding of texts, students identify and make connections between characters, settings and events and their own feelings and thoughts.","identify,texts,understand"
English,Foundation,Reading and Viewing,"They identify how types of texts, both print and digital, are organised for purpose and navigation. They compare how textual elements other than language, such as images and sounds, can contribute to meaning.","compare,identify,images,language,meaning,purpose,sounds,texts"
English,Foundation,Writing,"When creating and sharing short texts, students retell stories and report information, using familiar words and images where appropriate. They share in simple editing processes.","edit,images,information,texts,words"
English,Foundation,Writing,"They use words, phrases and punctuation, including capital letters and full stops, from familiar contexts and texts, and from their learning.","letters,punctuation,texts,use,words"
English,Foundation,Writing,They form letters and spell most consonant-vowel-consonant (CVC) words.,"letters,words"
English,Level 1,Speaking and Listening,"When interacting with others, students understand the vocabulary of curriculum area topics and use language, facial expressions and gestures when requesting, exclaiming and commanding. They use turn-taking skills.","express,interact,language,understand,use,vocabulary"
English,Level 1,Speaking and Listening,They explore language to express preferences and opinions.,"explore,express,language,preferences"
English,Level 1,Speaking and Listening,"When speaking to an audience, students deliver short spoken texts, engaging with personal or learnt topics, using features of voice.","audience,deliver,speak,texts,voice"
English,Level 1,Reading and Viewing,"When listening, reading and viewing, students engage with a range of different types of texts, including decodable and authentic texts, using developing phonic knowledge.","develop,engage,knowledge,listen,read,texts,view"
English,Level 1,Reading and Viewing,"They blend, segment and manipulate words with one and 2 syllables. They read an increasing number of high-frequency words and understand boundary punctuation.","blend,manipulate,punctuation,read,segment,understand,words"
English,Level 1,Reading and Viewing,"When demonstrating understanding of texts, students discuss characters, settings, events and images, and make connections between texts and their personal experiences. They begin to build their understanding of literal and inferred meanings. They identify how types of texts, both print and digital, are organised for purpose and navigation. They compare how textual elements other than language, such as images and sounds, can contribute to meaning in texts.","build,compare,discuss,identify,images,language,meaning,purpose,sounds,texts,understand"
English,Level 1,Writing,"When creating short written and spoken texts, students use narrative and informative text structures; incorporate some detail from previously encountered texts, learnt topics or topics of interest; and include appropriate multimodal elements. They re-read their texts and complete simple edits.","edit,read,texts,use"
English,Level 1,Writing,They select learning area or topic-specific vocabulary.,"select,vocabulary"
English,Level 1,Writing,"They write words using unjoined lower-case and upper-case letters. They spell most one- and 2-syllable words with common letter patterns and common grammatical morphemes, and an increasing number of high-frequency words. They apply boundary punctuation.","apply,letters,punctuation,words,write"
English,Level 2,Speaking and Listening,"When interacting with others, students apply learnt vocabulary and vary language choices depending on context, actively listen to others, and extend their own ideas.","apply,ideas,interact,language,listen,vary,vocabulary"
English,Level 2,Speaking and Listening,They explore the language of appreciation and provide reasons for preferences.,"explore,language,preferences"
English,Level 2,Speaking and Listening,"When speaking to an audience, students deliver short spoken texts, engaging with topics for a familiar audience and appropriate for purpose, using features of voice.","audience,deliver,purpose,speak,texts,voice"
English,Level 2,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 2,Reading and Viewing,"They read using phonic, morphemic and vocabulary knowledge; grammatical knowledge such as compound sentences, noun and verb groups; and knowledge of punctuation.","knowledge,punctuation,read,sentences,vocabulary"
English,Level 2,Reading and Viewing,They read some unfamiliar words and most high-frequency words.,"read,words"
English,Level 2,Reading and Viewing,"When demonstrating understanding of texts, students discuss and compare connections between characters, settings and events, and draw on their knowledge of context to build literal and inferred meanings. They express personal preferences for particular texts.","build,compare,discuss,express,knowledge,meaning,preferences,texts,understand"
English,Level 2,Reading and Viewing,"They describe how different types of texts across the curriculum, both print and digital, are organised for purpose and navigation. They understand that elements other than language – such as images and sounds – can multiply meanings in texts.","describe,images,language,meaning,purpose,sounds,texts,understand"
English,Level 2,Writing,"When creating short written and spoken texts, including stories to inform, express an opinion, explore an idea or narrate for audiences, students use ideas and details from previously encountered texts, learnt topics or topics of interest, and include appropriate multimodal elements. They re-read their texts and edit for improvement.","audience,edit,explore,express,ideas,read,texts,use"
English,Level 2,Writing,"They use narrative and informative text structures to organise their own texts, and they use grammar and punctuation to create links.","create,grammar,punctuation,texts,use"
English,Level 2,Writing,They begin to make deliberate choices when applying learnt vocabulary.,"apply,vocabulary"
English,Level 2,Writing,They write words using consistently legible unjoined lower-case and upper-case letters. They spell words with regular spelling patterns and use phonic and morphemic knowledge to attempt to spell words with less common patterns.,"knowledge,letters,spelling,use,words,write"
English,Level 3,Speaking and Listening,"When interacting with others, students extend topic-specific and appropriate vocabulary and use cooperation strategies and interaction skills to contribute to discussions.","discuss,interact,use,vocabulary"
English,Level 3,Speaking and Listening,They explore the language of evaluation and emotion.,"explore,language"
English,Level 3,Speaking and Listening,"When speaking to an audience, students deliver short spoken texts, exploring topics and text types, including multimodal or digital elements, and using features of voice.","audience,deliver,speak,texts,voice"
English,Level 3,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 3,Reading and Viewing,"They read using phonic, morphemic and vocabulary knowledge; grammatical knowledge such as subject–verb agreement and tense; and knowledge of apostrophe use.","knowledge,read,use,vocabulary"
English,Level 3,Reading and Viewing,They read multisyllabic words with more complex letter patterns.,"read,words"
English,Level 3,Reading and Viewing,"When demonstrating understanding of texts, they discuss connections between the experiences of characters in texts and their own personal experiences to build literal and inferred meanings. They share personal preferences for texts.","build,discuss,meaning,preferences,texts,understand"
English,Level 3,Reading and Viewing,"They explore how different types of texts across the curriculum, both print and digital, use different structures for purpose and navigation. They identify literary devices, such as rhythm and onomatopoeia, and describe how images and sound can extend meaning.","describe,explore,identify,images,meaning,purpose,texts,use"
English,Level 3,Writing,"When creating written and spoken texts to inform, narrate, explain or argue, students use ideas and details from previously encountered texts, learnt topics or topics of interest, and they include appropriate multimodal elements. They re-read their texts and edit for meaning, structure and grammatical choices.","edit,explain,ideas,meaning,read,texts,use"
English,Level 3,Writing,"They use text structures to begin to develop paragraphs for different purposes. They use grammar and punctuation to appropriately represent processes and connections, including using modal verbs.","develop,grammar,present,punctuation,purpose,use"
English,Level 3,Writing,"They extend their use of topic-specific vocabulary, such as technical words, and adopt and adapt language features from texts.","adapt,language,texts,use,vocabulary,words"
English,Level 3,Writing,"They write texts using letters that are joined, accurately formed and consistent in size. They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words.","knowledge,letters,texts,words,write"
English,Level 4,Speaking and Listening,"When interacting with others, students use an expanded vocabulary and language to develop relationships in different contexts.","develop,interact,language,texts,use,vocabulary"
English,Level 4,Speaking and Listening,"They share and extend ideas and information. They differentiate between the language of opinion, facts and feelings.","ideas,information,language"
English,Level 4,Speaking and Listening,"When speaking to an audience, students deliver structured spoken texts, exploring topics and text types, including multimodal or digital elements. They use language suitable to context, and appropriate features of voice.","audience,deliver,language,speak,texts,use,voice"
English,Level 4,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 4,Reading and Viewing,"They read by integrating phonic, morphemic and vocabulary knowledge; grammatical knowledge such as the use of clauses and phrases to provide details and indicate relationships; and knowledge of punctuation for dialogue.","knowledge,punctuation,read,use,vocabulary"
English,Level 4,Reading and Viewing,"When demonstrating understanding of texts, students consider storylines, ideas and relationships between characters to build literal and inferred meanings. They describe the effects of text structures and language features. They share opinions about texts.","build,describe,ideas,language,meaning,texts,understand"
English,Level 4,Reading and Viewing,"They explore how different types of texts across the curriculum, both print and digital, are organised into characteristic stages for purpose and navigation. They describe how literary devices, such as wordplay, shape meaning. They explore the framing and composition of still images and moving images and the use of sound.","describe,explore,images,meaning,purpose,texts,use"
English,Level 4,Writing,"When creating written and spoken texts for a small range of purposes and audiences, students adapt ideas and details from texts, learnt topics or topics of interest, and include appropriate multimodal elements. They edit their texts to improve content and structure.","adapt,audience,edit,ideas,purpose,texts"
English,Level 4,Writing,"They use text structures to sequence and connect ideas and to develop paragraphs. They use grammar and punctuation to create relationships, including through the use of tense.","create,develop,grammar,ideas,punctuation,use"
English,Level 4,Writing,"They expand their vocabulary, such as through using synonyms and antonyms, and they use adverbial phrases to build meaning. They explore language features, including wordplay.","build,explore,language,meaning,use,vocabulary"
English,Level 4,Writing,"They write texts using clearly formed joined letters with developing fluency. They spell words, including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge.","develop,fluency,knowledge,letters,spelling,texts,words,write"
English,Level 5,Speaking and Listening,"When interacting with others, students use vocabulary precisely and select language for social purposes and roles, to clarify meaning and make connections.","interact,language,meaning,purpose,select,use,vocabulary"
English,Level 5,Speaking and Listening,They extend their discussion beyond bare assertions and account for differing opinions and authoritative sources.,discuss
English,Level 5,Speaking and Listening,"When speaking to an audience, students deliver structured spoken texts, exploring topics and text types, including multimodal or digital elements. They select language for a specific purpose and use appropriate features of voice.","audience,deliver,language,purpose,select,speak,texts,use,voice"
English,Level 5,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 5,Reading and Viewing,"They read by integrating phonic, morphemic and vocabulary knowledge, and grammatical knowledge such as complex sentences and the use of clauses for effect.","knowledge,read,sentences,use,vocabulary"
English,Level 5,Reading and Viewing,"When demonstrating understanding of texts, students identify textual aspects that represent details about historical, cultural and social contexts. They describe how texts convey feelings, mood, actions and ideas to build literal and inferred meanings. They evaluate information and ideas in texts. They explain how different types of texts, both print and digital, are organised into characteristic stages for purpose. They discuss the effects of imagery and sound devices in texts. They explain how the sequence of still images, and moving images and sound, create or affect meaning.","build,create,describe,discuss,evaluate,explain,ideas,identify,images,information,meaning,present,purpose,texts,understand"
English,Level 5,Writing,"When creating written and spoken texts for specific purposes and audiences, students develop ideas and adapt textual details drawn from texts and include appropriate multimodal elements. They edit their texts using an agreed set of criteria.","adapt,audience,develop,edit,ideas,purpose,texts"
English,Level 5,Writing,"They use text structures, including paragraphs, to create prominence and build sequence and cohesion. They use grammar and punctuation, including complex sentences to provide additional information and description.","build,create,grammar,information,punctuation,sentences,use"
English,Level 5,Writing,"They use precise vocabulary, such as specialist and technical terms. They experiment with language features, including figurative language.","experiment,language,use,vocabulary"
English,Level 5,Writing,"They write legibly and fluently. They spell new and unfamiliar words using phonic, morphemic and grammatical knowledge.","knowledge,words,write"
English,Level 6,Speaking and Listening,"When interacting with others, students use vivid vocabulary, select language to acknowledge formality and social distance, and use appropriate strategies such as paraphrasing and questioning.","interact,knowledge,language,select,use,vocabulary"
English,Level 6,Speaking and Listening,They explore objective and subjective language and identify bias.,"explore,identify,language"
English,Level 6,Speaking and Listening,"When speaking to an audience, students deliver structured spoken texts, exploring topics and text types, including multimodal or digital elements. They select language appropriate for purpose and audience and use appropriate features of voice.","audience,deliver,language,purpose,select,speak,texts,use,voice"
English,Level 6,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 6,Reading and Viewing,"They read by integrating phonic, morphemic and vocabulary knowledge; grammatical knowledge such as complex sentences and adverb groups; and knowledge of the multiple uses of commas.","knowledge,read,sentences,use,vocabulary"
English,Level 6,Reading and Viewing,"When demonstrating understanding of texts, students explore and compare characters and events, and information and ideas, from different historical, cultural or social contexts to build literal and inferred meanings.","build,compare,explore,ideas,information,meaning,texts,understand"
English,Level 6,Reading and Viewing,"They explain how different types of texts, both print and digital, adapt text structures and language features for specific purposes. They explain the effects of imagery and sound devices in texts. They explain how still images, moving images and sound create point of view.","adapt,create,explain,images,language,purpose,texts,view"
English,Level 6,Writing,"When creating written and spoken texts for specific purposes and audiences, students explore ideas and experiment with textual details from texts, and include appropriate multimodal elements. They edit their texts using an agreed set of criteria and explore editing choices.","audience,edit,experiment,explore,ideas,purpose,texts"
English,Level 6,Writing,"They use text structures, including repetition, to create sequence and cohesion, sentence structure to expand ideas, and punctuation to create clarity.","create,ideas,punctuation,use"
English,Level 6,Writing,"They use vivid, emotive vocabulary. They experiment with language features and literary devices.","experiment,language,use,vocabulary"
English,Level 6,Writing,"They write legibly and fluently for sustained periods. They spell new and technical words using phonic, morphemic and grammatical knowledge.","knowledge,words,write"
English,Level 7,Speaking and Listening,"When interacting with others, students explore specialist and technical vocabulary and use language to express social identities.","explore,express,interact,language,use,vocabulary"
English,Level 7,Speaking and Listening,"They discuss and present ideas, including about texts. They explore the language of evaluation and substantiation.","discuss,explore,ideas,language,present,texts"
English,Level 7,Speaking and Listening,"When speaking to an audience, students deliver structured spoken texts, selecting text types appropriate for purpose and audience, including multimodal or digital elements. They demonstrate an understanding of formal language and use appropriate features of voice.","audience,deliver,demonstrate,language,purpose,select,speak,texts,understand,use,voice"
English,Level 7,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 7,Reading and Viewing,"They engage with vocabulary and grammatical knowledge, and the ways that different sentence structures extend and explain ideas, how accurate use of tense creates clarity and how punctuation supports meaning.","create,engage,explain,ideas,knowledge,meaning,punctuation,use,vocabulary"
English,Level 7,Reading and Viewing,"When demonstrating understanding of texts, students explain ways that characters, settings and events combine and create meaning in texts from different historical, cultural or social contexts. They develop opinions about texts through explorations of how literary devices and language features, and still and moving images and sound, create characters, settings and events. They explain and summarise ideas drawn from texts.","create,develop,explain,ideas,images,language,meaning,texts,understand"
English,Level 7,Reading and Viewing,"They describe how texts, including print and digital, are structured for different purposes. They explain how literary devices create meaning and aesthetic qualities. They explore how perspective is created through still images, moving images and sound.","create,describe,explain,explore,images,meaning,purpose,texts"
English,Level 7,Writing,"When creating written and spoken texts, students convey ideas and information to a specific audience. They select textual details from texts appropriate for purpose, and include appropriate multimodal or digital elements. They review and edit their own and others’ texts and reflect on these processes.","audience,edit,ideas,information,purpose,reflect,review,select,texts,view"
English,Level 7,Writing,"They use text structures that build sequence and cohesion in a text; grammar, including sentence structures, to achieve clarity; and punctuation to support meaning.","build,grammar,meaning,punctuation,use"
English,Level 7,Writing,They use vocabulary that builds specialist and technical knowledge. They experiment with language features and literary devices they have encountered in texts.,"build,experiment,knowledge,language,texts,use,vocabulary"
English,Level 7,Writing,They use spelling rules and knowledge of word origins to spell unfamiliar words.,"knowledge,spelling,use,words"
English,Level 8,Speaking and Listening,"When interacting with others, students explore academic vocabulary and use language to support relationships and roles.","explore,interact,language,use,vocabulary"
English,Level 8,Speaking and Listening,They explore and challenge the various meanings in text through discussions with others. They explore rhetorical and literary devices when evaluating and substantiating.,"discuss,explore,meaning"
English,Level 8,Speaking and Listening,"When speaking to an audience, students deliver structured spoken texts, selecting text types appropriate for purpose and audience, including multimodal or digital elements. They use language to suit formal and informal contexts, and appropriate features of voice.","audience,deliver,language,purpose,select,speak,texts,use,voice"
English,Level 8,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 8,Reading and Viewing,"They engage with vocabulary and grammatical knowledge, and the ways that different clause structures add information, the effects of nominalisation and how punctuation supports meaning.","engage,information,knowledge,meaning,punctuation,use,vocabulary"
English,Level 8,Reading and Viewing,"When demonstrating understanding of texts, students identify and explain intertextual references, issues and points of view from diverse historical, cultural and social contexts. They explore opinions about texts through explorations of how literary devices and language features, and still and moving images and sound, influence the reader’s response to represented values. They analyse and evaluate the ways that ideas are organised in texts.","analyse,evaluate,explain,explore,ideas,identify,images,language,present,read,texts,understand,view"
English,Level 8,Reading and Viewing,"They explain how texts, including print, digital and hybrid, are structured for different purposes. They explore how literary devices, including imagery, create meaning and aesthetic qualities. They explore how still images, moving images and sound use intertextual references to create meaning.","create,explain,explore,images,meaning,purpose,texts,use"
English,Level 8,Writing,"When creating written and spoken texts, students select and expand on ideas and experiment with language features and literary devices for purpose and effect, and include appropriate multimodal or digital elements. They review and edit their own and others’ texts and reflect on these processes.","edit,experiment,ideas,language,purpose,reflect,review,select,texts,view"
English,Level 8,Writing,They use evidence and substantiation to create cohesion; structure to create sequence; grammar to add information and expand ideas; and punctuation to support meaning.,"create,grammar,ideas,information,meaning,punctuation,use"
English,Level 8,Writing,"They use vocabulary typical of academic texts, including nominalisation. They experiment with language features and literary devices for effect.","experiment,language,texts,use,vocabulary"
English,Level 8,Writing,They use spelling rules and word origins to learn and accurately spell new words.,"spelling,use,words"
English,Level 9,Speaking and Listening,"When interacting with others, students explore vocabulary of mood and style and use language to strengthen relationships and roles.","explore,interact,language,use,vocabulary"
English,Level 9,Speaking and Listening,They discuss opinions on texts. They use evaluative and substantiative language to express individual views.,"discuss,express,language,texts,use,view"
English,Level 9,Speaking and Listening,"When speaking to an audience, students deliver structured spoken texts, selecting text types appropriate for purpose and audience, including multimodal or digital elements. They demonstrate different levels of formality in their language choice and use appropriate features of voice.","audience,deliver,demonstrate,language,purpose,select,speak,texts,use,voice"
English,Level 9,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 9,Reading and Viewing,"They engage with vocabulary and grammatical knowledge, including the ways that sentence structures are varied for creative effect and how punctuation supports citation and reference.","engage,knowledge,punctuation,vocabulary"
English,Level 9,Reading and Viewing,"When demonstrating understanding of texts, students discuss their responses to texts from diverse historical, cultural and social contexts, and they compare initial and subsequent impressions. They explore different responses, including personal impressions. They analyse how language and/or still and moving images and sound represent values, beliefs and attitudes and are used to shape audiences’ preferences. They analyse the relationship between text structures, language features, literary devices and intertextual connections.","analyse,audience,compare,discuss,explore,images,language,preferences,present,texts,understand,use"
English,Level 9,Reading and Viewing,"They explore how authors adapt and experiment with texts, including print, digital and hybrid, according to purpose. They analyse how literary devices, including poetic features, create meaning and aesthetic qualities. They analyse how symbols in still and moving images, and sound effects, create meaning.","adapt,analyse,create,experiment,explore,images,meaning,purpose,texts"
English,Level 9,Writing,"When creating written and spoken texts, students present ideas through a point of view and/or a voice. They experiment with textual elements and include appropriate multimodal or digital elements. They review and edit their own and others’ texts for clarity and control and reflect on these processes.","edit,experiment,ideas,present,reflect,review,texts,view,voice"
English,Level 9,Writing,"They experiment with text structures for cohesion and sequence, vary grammar for creative effect and use punctuation to condense and link ideas.","experiment,grammar,ideas,punctuation,use,vary"
English,Level 9,Writing,"They use vocabulary that contributes to style, mood and tone. They use language features and literary devices to create hybrid texts.","create,language,texts,use,vocabulary"
English,Level 9,Writing,They explore standard and non-standard spelling for creative effect.,"explore,spelling"
English,Level 10,Speaking and Listening,"When interacting with others, students use an expanded vocabulary and distinguish inclusive and exclusive language.","interact,language,use,vocabulary"
English,Level 10,Speaking and Listening,They discuss and present opinions about texts. They explore language that reveals views and values.,"discuss,explore,language,present,texts,view"
English,Level 10,Speaking and Listening,"When speaking to an audience, students deliver structured spoken texts, selecting text types appropriate for purpose and audience, including multimodal or digital elements. They experiment with formality in their language and use appropriate features of voice.","audience,deliver,experiment,language,purpose,select,speak,texts,use,voice"
English,Level 10,Reading and Viewing,"When reading and viewing, students engage with a range of different types of texts for meaning.","engage,meaning,read,texts,view"
English,Level 10,Reading and Viewing,"They engage with vocabulary and grammatical knowledge, and the ways that sentence structures, syntax and punctuation express ideas.","engage,express,ideas,knowledge,punctuation,vocabulary"
English,Level 10,Reading and Viewing,"When demonstrating understanding of texts, students analyse and evaluate representations from diverse historical, cultural and social contexts, and compare initial and subsequent impressions. They synthesise their own interpretations of a text, and evaluate how literary devices, and still and moving images and sound, represent values, beliefs and attitudes. They evaluate the connections between text structures, language features, literary devices and intertextual references.","analyse,compare,evaluate,images,interpret,language,present,synthesise,texts,understand"
English,Level 10,Reading and Viewing,"They analyse and evaluate the structures of texts, including print, digital and hybrid, according to purpose. They compare the use of voice as a device to evoke emotion and to create aesthetic qualities. They evaluate the features of still images, moving images and sound and their effects on representation.","analyse,compare,create,evaluate,images,present,purpose,texts,use,voice"
English,Level 10,Writing,"When creating written and spoken texts, students use a sustained voice and reflect on challenging or complex ideas or issues. They select appropriate textual elements for purpose and audience, and include appropriate multimodal or digital elements. They review, edit and refine their own and others’ texts and reflect on these processes.","audience,edit,ideas,purpose,refine,reflect,review,select,texts,use,view,voice"
English,Level 10,Writing,"They vary and experiment with text structures, grammar and punctuation to create and maintain cohesion and sequence.","create,experiment,grammar,punctuation,vary"
English,Level 10,Writing,"They use vocabulary with precision for purpose. They select, adapt and apply language features and literary devices, and use a sustained voice.","adapt,apply,language,purpose,select,use,vocabulary,voice"
English,Level 10,Writing,They use standard and non-standard spelling appropriate for purpose and audience.,"audience,purpose,spelling,use"
